lat,lon,depth_m,diameter_m,dD,pf_slope,ef_slope,circ,test
-85.7,-19.49,755.26,4549,0.16603,0.23944,0.33802,0.96163,0
-85.69,7.16,541.44,4008.3,0.13508,0.054137,0.12921,0.57446,0
-85.69,106.84,443.94,8213,0.054053,0.076419,0.060212,0.86048,0
-85.68,138.22,953.07,4838.5,0.19698,0.44125,0.4168,0.99997,0
-85.64,-117.63,541.09,4226.8,0.12802,0.23274,0.27619,0.99179,0
-85.61,-33.16,554.91,4522,0.12271,0.21126,0.20024,0.76843,0
-85.61,-27.24,405.46,6692.5,0.060584,0.11173,0.081439,0.91321,0
-85.6,65.91,317.96,6565,0.048433,0.091033,0.069899,0.79284,0
-85.6,-39.68,208.8,3364.6,0.062057,0.068706,0.099042,0.78378,0
-85.59,71.06,640.27,7806.9,0.082014,0.15944,0.068923,0.98497,0
-85.59,-84.15,174.63,4577,0.038153,0.074542,0.080733,0.96933,0
-85.578,-132.75,457.09,5344.4,0.085527,0.078205,0.10442,0.61017,0
-85.57,-19.43,927.28,4970.4,0.18656,0.20023,0.26302,0.6698,0
-85.56,78.07,244.02,2517.2,0.09694,0.19024,0.21193,0.84908,0
-85.56,-43.39,692.01,6506.1,0.10636,0.1565,0.1565,0.69182,0
-85.558,143.77,243.88,2298.1,0.10612,0.17273,0.095848,0.62637,0
-85.55,120.61,265.68,2375.6,0.11184,0.18971,0.18286,0.56159,0
-85.534,42.173,537.65,6851.6,0.078471,0.098725,0.09456,0.93488,0
-85.53,62.35,625.03,4137.6,0.15106,0.21844,0.20633,0.58475,0
-85.53,165.15,1288.9,6691.6,0.19262,0.31441,0.37928,0.82352,0
-85.51,-152.9,411.99,5190.7,0.07937,0.1402,0.06426,0.96331,0
-85.49,-31.13,766.19,6452.7,0.11874,0.14133,0.13604,0.62309,0
-85.471,-129.53,551.73,5326.1,0.10359,0.19011,0.21632,0.96074,0
-85.46,65.06,347.86,2788.2,0.12476,0.20817,0.23069,0.77774,0
-85.46,-36.18,307.25,3984.3,0.077116,0.069261,0.098727,0.87716,0
-85.45,-12.53,1137.7,8786.9,0.12948,0.24184,0.32141,0.97562,0
-85.431,85.213,289.98,2896.8,0.1001,0.16444,0.24198,0.83334,0
-85.43,-73.7,233.64,2356.1,0.099161,0.14562,0.18967,0.93134,0
-85.427,30.099,226.61,2210.6,0.10251,0.15744,0.16664,0.94327,0
-85.42,-15.36,138.54,2343.8,0.059109,0.10327,0.1295,0.8654,0
-85.418,18.84,432.87,2925.6,0.14796,0.16337,0.14993,0.66884,0
-85.411,54.75,262.9,2838.3,0.092625,0.090312,0.086454,0.9876,0
-85.409,56.571,256.3,2603.8,0.098433,0.056879,0.061727,0.73027,0
-85.405,31.184,208.16,1912,0.10887,0.14025,0.18734,0.77956,0
-85.35,-136.19,186.55,2588,0.072083,0.12413,0.15409,0.91804,0
-85.342,48.507,628.31,5656.2,0.11108,0.17441,0.14362,0.87115,0
-85.32,144.26,945.31,5460.5,0.17312,0.32573,0.27956,0.96298,0
-85.301,161.92,361.72,4175.7,0.086624,0.16747,0.11677,0.90425,0
-85.28,91.48,309.1,2983.7,0.1036,0.11346,0.23779,0.91158,0
-85.24,-66.86,220.69,3088.2,0.071462,0.12399,0.1133,0.94722,0
-85.223,17.229,185.89,2780.7,0.066849,0.18954,0.08871,0.95996,0
-85.22,-121.83,1515.4,9878,0.15341,0.29202,0.22936,0.99998,0
-85.21,80.06,437.94,4341.6,0.10087,0.1581,0.15909,0.80744,0
-85.204,-118.75,229.92,2983.8,0.077054,0.1097,0.20413,0.80474,0
-85.193,66.51,159.58,1980,0.080595,0.10914,0.093901,0.72956,0
-85.18,-73.11,480.34,3612.5,0.13297,0.26999,0.26415,0.83903,0
-85.17,-17.98,529.76,5559.4,0.09529,0.20043,0.17912,0.9592,0
-85.158,50.763,328.36,2752.1,0.11931,0.17999,0.14966,0.64196,0
-85.14,163.29,827.75,7164,0.11554,0.34964,0.1926,0.91232,0
-85.12,-8.06,314.39,4651.8,0.067584,0.1315,0.14053,0.62668,0
-85.111,-64.87,229.09,3168.4,0.072306,0.14792,0.15159,0.81291,0
-85.108,-67.27,143.91,2010.7,0.071574,0.1129,0.14031,0.74996,0
-85.1,0.33,181.13,4607.2,0.039315,0.085287,0.076959,0.91994,0
-85.09,158.27,555.71,4500.9,0.12347,0.15855,0.17398,0.89685,0
-85.05,67.17,285.42,2483.5,0.11493,0.20252,0.20668,0.58899,0
-85.03,5.25,542.71,5295.1,0.10249,0.098148,0.08825,0.81679,0
-85.001,90.897,206.05,2162.8,0.095269,0.18236,0.14222,0.96543,0
-84.989,-123.37,1484.7,9917.6,0.1497,0.25204,0.26269,0.99998,0
-84.988,160.44,472.61,4262,0.11089,0.18089,0.23489,0.82944,0
-84.981,74.175,269.92,2951.4,0.091456,0.20343,0.10267,0.88331,0
-84.973,-17.48,228.22,2259.3,0.10102,0.15969,0.16319,0.76463,0
-84.969,51.497,1214.5,9001.9,0.13491,0.15668,0.21862,0.98261,0
-84.955,-25.2,547.97,4602.5,0.11906,0.22237,0.24155,0.92082,0
-84.941,-117.48,669.45,3939.6,0.16993,0.33012,0.19425,0.79062,0
-84.934,-74.81,747.6,5815.2,0.12856,0.26383,0.22441,0.82025,0
-84.921,-9.03,218.73,2278.9,0.095982,0.14875,0.13897,0.69412,0
-84.908,-160.59,894.36,6650.7,0.13448,0.15399,0.21234,0.7851,0
-84.908,-143.27,627.75,6860.5,0.091502,0.080459,0.17848,0.85922,0
-84.893,13.254,393.67,4197.2,0.093792,0.14183,0.11724,0.91199,0
-84.875,-153.85,1099.3,12514,0.087843,0.09353,0.18972,0.86504,0
-84.874,-103.23,241.75,2619.5,0.092288,0.17979,0.14432,0.92525,0
-84.873,14.324,265.48,4258.4,0.062342,0.17315,0.068291,0.86987,0
-84.848,157.41,299.33,2867.9,0.10437,0.2194,0.13549,0.88398,0
-84.842,-106.96,799.16,5591.8,0.14292,0.28135,0.32384,0.89679,0
-84.833,-167.01,476.08,2665,0.17864,0.29043,0.094195,0.62171,0
-84.83,68.57,539.02,3331.5,0.1618,0.19293,0.1713,0.71002,0
-84.83,-73.7,792.1,6185.9,0.12805,0.14693,0.22861,0.85613,0
-84.827,-108.07,767,4519.1,0.16973,0.17893,0.26442,0.83877,0
-84.827,-11.19,813.33,7156.2,0.11365,0.23674,0.19614,0.90298,0
-84.823,60.537,294.98,3244.6,0.090916,0.15076,0.13919,0.7888,0
-84.812,-24.69,577.32,5382.2,0.10727,0.13186,0.19528,0.91003,0
-84.809,-33.91,583.79,4651.5,0.1255,0.21323,0.18207,0.758,0
-84.794,23.54,339.96,5443.7,0.062452,0.16046,0.0955,0.94829,0
-84.784,69.765,545.66,3331.2,0.16381,0.23354,0.15231,0.70109,0
-84.779,5.0621,290.31,2578,0.11261,0.14363,0.1796,0.45873,0
-84.752,-41.57,545.86,4700.1,0.11614,0.12115,0.15762,0.86131,0
-84.74,-121.31,1368.2,8125.7,0.16838,0.10495,0.17642,0.93579,0
-84.729,38.107,795.81,5297.3,0.15023,0.25735,0.16083,0.79165,0
-84.729,-61.55,195.78,4287.1,0.045667,0.064548,0.079184,0.83606,0
-84.729,-16.05,900.64,5245.5,0.1717,0.34984,0.42312,0.96363,0
-84.727,-97.97,114.29,1776.7,0.064324,0.09505,0.12753,0.78636,0
-84.719,-13.05,132.38,1854.1,0.071396,0.11354,0.15405,0.93208,0
-84.718,-68.83,214.14,2491.2,0.085959,0.11742,0.14651,0.87747,0
-84.717,74.024,725.21,5382.3,0.13474,0.34136,0.24332,0.85051,0
-84.71,67.045,480.66,4228.9,0.11366,0.051396,0.10146,0.91237,0
-84.706,158.44,408.15,4182.2,0.097591,0.19585,0.098398,0.66879,0
-84.687,-140.62,1756.5,9378.4,0.1873,0.10584,0.17074,0.72917,0
-84.679,-11.66,602.26,4799.9,0.12547,0.16343,0.23385,0.82929,0
-84.678,-116.99,1045.5,9400,0.11122,0.14391,0.23654,0.75158,0
-84.673,-19.56,503.37,3544.9,0.142,0.21342,0.28757,0.58941,0
-84.667,79.753,323.21,2433.3,0.13283,0.23284,0.3242,0.98825,0
-84.646,-64.18,859.81,4728.5,0.18184,0.37601,0.39592,0.79066,0
-84.638,-67.61,324.98,2839,0.11447,0.23187,0.18124,0.91608,0
-84.632,145.34,325.92,2404.3,0.13556,0.15647,0.17221,0.51878,0
-84.629,-72.14,340.21,4924.2,0.06909,0.14824,0.11603,0.99991,0
-84.625,-9.29,695.04,8485.2,0.081911,0.052572,0.15429,0.67377,0
-84.593,-124.83,393.33,4258.2,0.09237,0.19324,0.10685,0.90176,0
-84.563,69.526,919.6,5973.9,0.15394,0.32517,0.23436,0.82795,0
-84.559,19.752,936.02,5258.8,0.17799,0.32881,0.42595,0.928,0
-84.499,-149.99,921.85,4701.3,0.19609,0.15806,0.2479,0.84074,0
-84.498,11.018,135.33,2279.4,0.059373,0.11978,0.054409,0.7331,0
-84.498,161.68,2313.1,14007,0.16514,0.13086,0.33488,0.64572,0
-84.493,26.815,627.44,3624.9,0.17309,0.098538,0.12459,0.74599,0
-84.492,-78.77,330.88,3928.9,0.084218,0.10316,0.20711,0.85291,0
-84.489,-158.18,327.97,2926,0.11209,0.088421,0.15893,0.8783,0
-84.48,108.19,201.99,2236.7,0.090309,0.18173,0.16626,0.99165,0
-84.474,-77.42,270.26,2722.9,0.099254,0.18765,0.25109,0.97916,0
-84.467,34.1,866.36,5500.4,0.15751,0.20563,0.28385,0.96878,0
-84.466,12.591,568.41,6433.5,0.088352,0.19415,0.1065,0.86101,0
-84.458,-75.49,301.89,2983.6,0.10118,0.1029,0.13207,0.60589,0
-84.456,-22.33,440.05,3331.2,0.1321,0.11172,0.19244,0.7187,0
-84.454,114.68,861.34,4431.5,0.19437,0.35245,0.45692,0.91055,0
-84.448,-36.9,381.54,4800.2,0.079484,0.14388,0.19844,0.76981,0
-84.441,28.568,410.09,3042,0.13481,0.19233,0.11978,0.67755,0
-84.414,-57.12,630.77,3545.1,0.17793,0.3578,0.24351,0.66923,0
-84.396,172.97,476.52,3584.8,0.13293,0.24621,0.24483,0.86538,0
-84.388,177.59,142.21,1873.2,0.075917,0.04113,0.1252,0.67368,0
-84.386,113.55,867.77,4800.1,0.18078,0.33486,0.36224,0.99997,0
-84.382,140.13,891.84,5009.4,0.17803,0.35833,0.41368,0.97979,0
-84.38,100.57,471.27,5551.9,0.084886,0.18177,0.1374,0.91358,0
-84.376,-160.92,526.72,4142.7,0.12715,0.23322,0.17485,0.9044,0
-84.372,-54.54,1118,6440.5,0.1736,0.18789,0.16744,0.51684,0
-84.362,-25.21,203.28,2452.7,0.082879,0.16184,0.17704,0.97701,0
-84.36,65.87,430.83,3939.4,0.10936,0.09446,0.17651,0.84463,0
-84.356,111.98,241.38,3936.9,0.061311,0.10269,0.09031,0.8275,0
-84.355,-31.57,328.75,3146.3,0.10449,0.14798,0.15264,0.92933,0
-84.347,-178.36,106.77,1718.8,0.062119,0.074737,0.096869,0.70637,0
-84.326,-122.01,789.14,8763.2,0.090052,0.19259,0.13328,0.97349,0
-84.313,143.53,273.69,2983.7,0.091729,0.17809,0.18343,0.95377,0
-84.308,36.825,229.67,2839,0.080896,0.093339,0.060241,0.86722,0
-84.268,42.241,1963.6,10182,0.19285,0.38782,0.47212,0.95801,0
-84.254,-13.22,1205,11533,0.10448,0.077255,0.1227,0.68625,0
-84.248,67.191,623.94,3584.9,0.17405,0.16452,0.32454,0.58063,0
-84.248,-78.32,381.86,3520.8,0.10846,0.18209,0.14706,0.8364,0
-84.235,8.0951,468.55,3939.3,0.11894,0.20589,0.19797,0.77267,0
-84.234,-0.82,413.4,2694,0.15345,0.1483,0.14303,0.49201,0
-84.226,-9.93,577.1,7126.2,0.080984,0.10927,0.13266,0.90564,0
-84.204,64.988,230.67,3041.6,0.075838,0.072438,0.093532,0.69078,0
-84.195,-128.42,364.98,2259.3,0.16154,0.33717,0.30195,0.86646,0
-84.177,-50.6,2641.9,10288,0.2568,0.20148,0.33786,0.88302,0
-84.169,174.48,704.03,4750.8,0.14819,0.32072,0.39197,0.98969,0
-84.147,12.446,248.22,3157.3,0.078617,0.26272,0.10308,0.73151,0
-84.122,126.02,239.31,2220.7,0.10776,0.17596,0.13375,0.95827,0
-84.108,79.603,1028.1,6919.8,0.14857,0.38,0.20962,0.83572,0
-84.087,177.03,530.33,6145.5,0.086295,0.21035,0.17627,0.99218,0
-84.087,-82.6,327.53,3155.4,0.1038,0.18951,0.14897,0.90769,0
